Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC34/IC41,1195,-0.176014386,0.04395025,-4.004855174,-0.041009081,0.034984099,6.25274146428742e-05,0.001104651
IC34/IC43,1197,-0.142649544,0.052309089,-2.72705082,-0.027937169,0.034112355,0.006402032,0.039560538
IC34/IC49,1203,0.165197112,0.04695321,3.518334811,0.036034105,0.034613364,0.000436291,0.005780858
IC35/IC36,1208,0.124040501,0.041676135,2.976295646,0.030488275,0.034256524,0.002924874,0.023823474
IC35/IC37,1209,-0.202958682,0.048475699,-4.186812918,-0.04286895,0.035134992,2.85446720874773e-05,0.000634428
IC35/IC38,1210,0.188532523,0.05122957,3.680150385,0.037689087,0.034731378,0.000234384,0.003510669
IC35/IC42,1214,-0.32276012,0.051710871,-6.241629961,-0.063836641,0.037299085,4.51514291277377e-10,1.42340620956835e-07
IC35/IC44,1216,-0.2510268,0.05161252,-4.863680401,-0.04978344,0.035754655,1.1706961466067e-06,6.45287716009612e-05
IC35/IC45,1217,-0.215440578,0.050631016,-4.255110727,-0.043566937,0.035193347,2.10947406185125e-05,0.000519081
IC35/IC47,1219,-0.189607647,0.045946672,-4.126689498,-0.042254451,0.035084397,3.71159467527669e-05,0.000752144
IC35/IC52,1224,-0.154913202,0.046527576,-3.329492225,-0.034102329,0.034482313,0.000873352,0.009784381
IC36/IC38,1227,-0.155946094,0.043616034,-3.575430391,-0.036618089,0.034654402,0.000351386,0.004747152
IC36/IC39,1228,0.103965674,0.038609531,2.692746356,0.027586008,0.034093496,0.007099027,0.041805384
IC36/IC40,1229,0.126089401,0.042844639,2.942944638,0.030146949,0.034236505,0.003258915,0.025661629
IC36/IC43,1232,0.157675761,0.046416464,3.396979165,0.034792736,0.034528321,0.000684132,0.008342774
IC36/IC45,1234,0.111005233,0.039688797,2.796890849,0.028652063,0.034151486,0.005170055,0.036348649
IC36/IC47,1236,0.144811892,0.047442879,3.052342004,0.031266518,0.03430301,0.002276896,0.020112585
IC37/IC49,1254,-0.165412462,0.046653711,-3.545537039,-0.036312339,0.034632834,0.000393696,0.005267121
IC38/IC40,1260,-0.262552054,0.047826941,-5.489626719,-0.056171407,0.036409323,4.13134198086894e-08,4.74415770803116e-06
IC38/IC43,1263,0.12816534,0.047178851,2.716584572,0.027830032,0.034106576,0.006607857,0.039896225
IC38/IC44,1264,0.244903647,0.055897473,4.381300896,0.044856402,0.035303632,1.19236874556162e-05,0.000342309
IC38/IC46,1266,-0.177817615,0.049711021,-3.577025996,-0.036634409,0.034655558,0.000349251,0.004747152
IC38/IC49,1269,0.364755069,0.060568724,6.02216864,0.061600759,0.037027807,1.78466310927617e-09,2.73251751620285e-07
IC38/IC50,1270,-0.266361973,0.044076818,-6.043130792,-0.061814363,0.037053306,1.56825194826871e-09,2.73251751620285e-07
IC38/IC52,1272,0.142375516,0.052346485,2.719867749,0.02786364,0.034108387,0.00654266,0.039896225
IC40/IC45,1292,0.132250949,0.043172459,3.063317486,0.031378835,0.034309816,0.002195096,0.01973576
IC40/IC53,1300,-0.113782923,0.041974915,-2.71073625,-0.027770165,0.034103357,0.006725443,0.040119739
IC42/IC45,1315,-0.152466449,0.048612988,-3.136331601,-0.032125986,0.034355709,0.001715971,0.016770265
IC42/IC49,1319,-0.313184366,0.050853393,-6.158573648,-0.062990571,0.037195294,7.63730020921551e-10,1.75403328138316e-07
IC42/IC52,1322,-0.132279709,0.047105016,-2.808187317,-0.028767691,0.034157908,0.004992272,0.035644308
IC43/IC49,1329,-0.127661529,0.048050844,-2.656800936,-0.027218037,0.03407399,0.007901768,0.045943613
IC43/IC51,1331,-0.207731642,0.047078043,-4.412495288,-0.045175125,0.035331387,1.03311129010648e-05,0.000309399
IC44/IC48,1337,-0.110871753,0.039743412,-2.789688834,-0.028578344,0.034147405,0.005286366,0.036389259
IC44/IC49,1338,-0.262691365,0.067040131,-3.918419598,-0.040125435,0.034914753,8.9755452716408e-05,0.001490157
IC45/IC46,1343,0.150447682,0.052284123,2.877502259,0.029477159,0.034197877,0.004017289,0.030416616
IC45/IC49,1346,-0.211170289,0.057154225,-3.694745013,-0.037838339,0.034742282,0.000221342,0.003351749
IC45/IC50,1347,0.113495415,0.041054157,2.764529144,0.028320809,0.034133231,0.005711475,0.037730364
IC45/IC52,1349,-0.196422593,0.04572962,-4.29530346,-0.043977668,0.035228127,1.76187098799198e-05,0.000466896
IC45/IC53,1350,-0.125840467,0.042046979,-2.99285395,-0.030657734,0.034266546,0.002770915,0.023141338
IC46/IC47,1351,0.13343197,0.04478776,2.979206154,0.030518061,0.034258281,0.002897259,0.023764422
IC46/IC52,1356,-0.13691715,0.042613231,-3.213019684,-0.032910674,0.034405072,0.001317849,0.013540098
IC46/IC53,1357,-0.103537524,0.036901618,-2.805771974,-0.028742968,0.034156532,0.005029813,0.035727231
IC47/IC49,1359,-0.146757245,0.048060206,-3.05361246,-0.03127952,0.034303796,0.002267287,0.020112585
IC47/IC52,1362,-0.149303927,0.045649813,-3.270636087,-0.033500178,0.034442939,0.001076877,0.01159325
IC48/IC51,1366,-0.108576424,0.03977796,-2.729562428,-0.027962879,0.034113745,0.006353506,0.039437528
IC49/IC50,1369,0.120608342,0.042156884,2.860940622,0.029307648,0.034188239,0.004233065,0.031361094
IC49/IC52,1371,-0.192969392,0.04684618,-4.119212966,-0.042178033,0.035078156,3.83386584755417e-05,0.000754724
IC50/IC52,1374,0.09896385,0.035890796,2.757360163,0.028247426,0.034129216,0.005838126,0.037834218
